JOB PARAMETERS:

Temperature is 2000.00000
Time step is  0.12500 fs
Number of steps is 1000
Number of layers is 1
Chebyshev short-range pair forces will be used
Force parameters will be read from params.cheby.txt
Coulomb forces will be calculated with Ewald sums
ReaxFF overcoordination term will be calculated
Built-in charges will be used
Pressures will be calculated using the virial
Velocities will be read from input.xyz
Random number seed = 12357
Trajectory will be written to traj.gen every 20 steps
Energies will be written every 10 steps
Nose-Hoover thermostat time = 10.00000 fs

END OF JOB PARAMETERS

v.c.o.m. = 6.96396867455082e-14   -5.22171506391837e-14   1.88826311419191e-14
v.c.o.m. = 7.70346256331636e-19   1.54069251266327e-18   2.35918541001563e-18
Cheby minimum = 0.6
Cheby maximum = 6
Cheby order    = 14
Reading overcoordination parameters from params.cheby.txt
Overcoordination parameter 0 =  5.000000e+01
Overcoordination parameter 1 =  1.016500e+00
Overcoordination parameter 2 = -6.570000e-02
Overcoordination parameter 3 =  5.045100e+00
Overcoordination parameter 4 = -3.614100e+00
Built-in Q[H] =      0.32988 e
Charge sum per atom =   0.00000e+00
Volume                       = 638.08412 Ang.^3
Number density               =  0.24983 mol atm/cc
Mass density                 =  3.00046 g/cc
Requested Ewald accuracy  =  1.000000e-07
Ewald alpha               =  5.853127e-01
R-Space Ewald cutoff      =  6.173215e+00
R-Space accuracy estimate =  5.220777e-08
K-Space accuracy estimate =  5.489244e-07
Cutting off K-vectors with magnitude less than 6
Number of Ewald K-vectors = 894
K-space accuracy estimate = 6.6261033015771e-08
    Step      Time          Ktot/N          Vtot/N          Etot/N               T               P         Econs/N
              (fs)      (kcal/mol)      (kcal/mol)      (kcal/mol)             (K)           (GPa)      (kcal/mol)
     550     68.75       5.0373330     -72.4301450     -67.3928120          1707.9          10.137    -68.5821328
     560     70.00       5.2473446     -72.5616452     -67.3143005          1779.1           7.276    -68.5821439
     570     71.25       5.9555785     -73.1646660     -67.2090875          2019.2           3.802    -68.5826671
     580     72.50       6.1600039     -73.2545185     -67.0945146          2088.5           4.425    -68.5820504
     590     73.75       6.3721478     -73.3591011     -66.9869533          2160.5           9.636    -68.5827766
     600     75.00       5.9991992     -72.8913086     -66.8921094          2034.0          15.430    -68.5825993
     610     76.25       5.5560356     -72.3642762     -66.8082406          1883.8          16.755    -68.5817260
     620     77.50       6.0777451     -72.7944214     -66.7166763          2060.6          15.593    -68.5822426
     630     78.75       6.7192645     -73.3403645     -66.6211000          2278.1           9.356    -68.5824202
     640     80.00       6.8362268     -73.3831633     -66.5469364          2317.8           4.597    -68.5822011
     650     81.25       6.2482999     -72.7536330     -66.5053330          2118.5           4.849    -68.5816236
     660     82.50       5.7119127     -72.1910113     -66.4790986          1936.6           6.626    -68.5810120
     670     83.75       6.0016320     -72.4528975     -66.4512655          2034.8           7.097    -68.5816857
     680     85.00       6.2463898     -72.6709694     -66.4245796          2117.8           7.783    -68.5820865
     690     86.25       5.8401954     -72.2469475     -66.4067521          1980.1           9.201    -68.5817486
     700     87.50       5.5928002     -71.9809192     -66.3881190          1896.2           8.830    -68.5808181
     710     88.75       6.3251125     -72.6894949     -66.3643824          2144.5           6.140    -68.5821621
     720     90.00       6.5824332     -72.9318146     -66.3493814          2231.7           5.421    -68.5817094
     730     91.25       6.8371498     -73.1951446     -66.3579948          2318.1           8.474    -68.5812129
     740     92.50       7.6437349     -74.0533709     -66.4096360          2591.6          14.907    -68.5837136
     750     93.75       7.0419313     -73.5632436     -66.5213123          2387.5          20.159    -68.5824872
     760     95.00       6.3164446     -72.9760445     -66.6595999          2141.6          19.514    -68.5814271
     770     96.25       6.6803430     -73.4962121     -66.8158691          2264.9          14.589    -68.5828969
     780     97.50       6.7354853     -73.7414654     -67.0059801          2283.6           8.655    -68.5834260
     790     98.75       6.3229171     -73.5360460     -67.2131289          2143.8           5.351    -68.5824515
     800    100.00       6.1027211     -73.5322980     -67.4295769          2069.1           4.732    -68.5830497
     810    101.25       5.6810290     -73.3188296     -67.6378005          1926.1           5.438    -68.5831266
     820    102.50       5.2961935     -73.1200119     -67.8238184          1795.7           5.947    -68.5820145
     830    103.75       5.5214961     -73.5173645     -67.9958684          1872.0           7.833    -68.5836322
     840    105.00       5.6792317     -73.8373072     -68.1580755          1925.5          10.976    -68.5834056
     850    106.25       6.0085073     -74.3340235     -68.3255163          2037.2          12.369    -68.5842977
     860    107.50       5.8095299     -74.3053726     -68.4958427          1969.7          13.002    -68.5843564
     870    108.75       4.9668715     -73.6140400     -68.6471685          1684.0          14.237    -68.5836841
     880    110.00       4.4594897     -73.2119879     -68.7524982          1512.0          13.283    -68.5829910
     890    111.25       4.8498303     -73.6772104     -68.8273801          1644.3           9.236    -68.5840711
     900    112.50       4.9400870     -73.8168955     -68.8768085          1674.9           6.045    -68.5837625
     910    113.75       4.9033664     -73.8050985     -68.9017321          1662.5           6.482    -68.5838787
     920    115.00       4.9047698     -73.8057435     -68.9009737          1662.9           9.611    -68.5841907
     930    116.25       4.9286148     -73.8024752     -68.8738604          1671.0          12.359    -68.5840649
     940    117.50       4.9290283     -73.7496985     -68.8206702          1671.2          14.383    -68.5829862
     950    118.75       5.4890045     -74.2301740     -68.7411695          1861.0          11.527    -68.5849590
     960    120.00       4.8200113     -73.4667187     -68.6467074          1634.2           9.018    -68.5825985
     970    121.25       4.9181204     -73.4533002     -68.5351798          1667.5           6.648    -68.5833136
     980    122.50       5.2569039     -73.6476870     -68.3907831          1782.3           5.136    -68.5830983
     990    123.75       5.8548569     -74.0703306     -68.2154737          1985.1           6.051    -68.5828895
    1000    125.00       6.8207257     -74.8364939     -68.0157681          2312.5           9.976    -68.5834383
Average temperature over run =  1980.53 K
Average pressure over run    =  10.3853 GPa
