JOB PARAMETERS:

Temperature is 2000.00000
Time step is  0.12500 fs
Number of steps is 1000
Number of layers is 1
Spline short-range pair forces will be used
Force parameters will be read from params.spline.txt
Coulomb forces will be calculated with Ewald sums
ReaxFF overcoordination term will be calculated
Built-in charges will be used
Pressures will be calculated using the virial
Velocities will be read from input.xyz
Random number seed = 12357
Trajectory will be written to traj.gen every 20 steps
Energies will be written every 10 steps
Nose-Hoover thermostat time = 10.00000 fs

END OF JOB PARAMETERS

v.c.o.m. = 6.96396867455082e-14   -5.22171506391837e-14   1.88826311419191e-14
v.c.o.m. = 7.70346256331636e-19   1.54069251266327e-18   2.35918541001563e-18
Spline minimum = 0.6
Spline maximum = 6
Spline step    = 0.05
Reading overcoordination parameters from params.spline.txt
Overcoordination parameter 0 =  5.000000e+01
Overcoordination parameter 1 =  1.016500e+00
Overcoordination parameter 2 = -6.570000e-02
Overcoordination parameter 3 =  5.045100e+00
Overcoordination parameter 4 = -3.614100e+00
Filling in table 0 for values less than 0
Filling in table 1 for values less than 228
Filling in table 2 for values less than 458
Built-in Q[H] =      0.32988 e
Charge sum per atom =   0.00000e+00
Volume                       = 638.08412 Ang.^3
Number density               =  0.24983 mol atm/cc
Mass density                 =  3.00046 g/cc
Requested Ewald accuracy  =  1.000000e-07
Ewald alpha               =  5.853127e-01
R-Space Ewald cutoff      =  6.173215e+00
R-Space accuracy estimate =  5.220777e-08
K-Space accuracy estimate =  5.489244e-07
Cutting off K-vectors with magnitude less than 6
Number of Ewald K-vectors = 894
K-space accuracy estimate = 6.6261033015771e-08
    Step      Time          Ktot/N          Vtot/N          Etot/N               T               P         Econs/N
              (fs)      (kcal/mol)      (kcal/mol)      (kcal/mol)             (K)           (GPa)      (kcal/mol)
     540     67.50       5.9171430     -79.2782426     -73.3610996          2006.2           6.662    -75.8272460
     550     68.75       6.1631530     -79.3066704     -73.1435175          2089.6           4.649    -75.8268807
     560     70.00       5.8829990     -78.8150383     -72.9320393          1994.6           5.458    -75.8267031
     570     71.25       5.7300954     -78.4577323     -72.7276370          1942.8           6.439    -75.8213561
     580     72.50       6.3775755     -78.8914373     -72.5138618          2162.3           5.487    -75.8203449
     590     73.75       6.7350396     -79.0297837     -72.2947441          2283.5           5.451    -75.8179073
     600     75.00       6.8712744     -78.9736984     -72.1024241          2329.7           6.958    -75.8202930
     610     76.25       7.1572439     -79.0951995     -71.9379556          2426.6           5.903    -75.8189081
     620     77.50       7.3139153     -79.1311901     -71.8172747          2479.8           5.278    -75.8195306
     630     78.75       7.2235394     -78.9687990     -71.7452596          2449.1           6.566    -75.8158964
     640     80.00       6.6109272     -78.3400883     -71.7291611          2241.4           6.338    -75.8186534
     650     81.25       6.7485813     -78.4897142     -71.7411328          2288.1           4.693    -75.8205402
     660     82.50       7.0401654     -78.8258297     -71.7856643          2386.9           5.639    -75.8229645
     670     83.75       6.7841954     -78.6519768     -71.8677814          2300.2           7.828    -75.8228022
     680     85.00       6.4956898     -78.4733783     -71.9776884          2202.3           8.748    -75.8241792
     690     86.25       6.8478561     -78.9578996     -72.1100434          2321.7           6.022    -75.8231786
     700     87.50       6.8998667     -79.1866634     -72.2867968          2339.4           3.614    -75.8273860
     710     88.75       6.2641539     -78.7486851     -72.4845312          2123.8           2.558    -75.8276898
     720     90.00       5.8447924     -78.5149427     -72.6701503          1981.7           3.028    -75.8225958
     730     91.25       6.0717075     -78.9325650     -72.8608575          2058.6           4.588    -75.8238659
     740     92.50       6.2685069     -79.3329423     -73.0644354          2125.3           6.495    -75.8239266
     750     93.75       6.1383021     -79.4215679     -73.2832658          2081.2           9.374    -75.8274571
     760     95.00       5.6456469     -79.1357267     -73.4900798          1914.1          10.198    -75.8232497
     770     96.25       5.5565607     -79.2362562     -73.6796955          1883.9           7.899    -75.8203705
     780     97.50       5.3051726     -79.1636576     -73.8584850          1798.7           5.240    -75.8193221
     790     98.75       4.6259821     -78.6275853     -74.0016032          1568.4           2.029    -75.8168447
     800    100.00       4.5011722     -78.6088391     -74.1076669          1526.1           1.588    -75.8193048
     810    101.25       4.7991658     -78.9834487     -74.1842830          1627.1           2.859    -75.8234597
     820    102.50       4.8954680     -79.1283967     -74.2329288          1659.8           7.769    -75.8242098
     830    103.75       4.6224493     -78.8726645     -74.2502152          1567.2          10.261    -75.8214061
     840    105.00       5.0370564     -79.2786932     -74.2416369          1707.8           8.528    -75.8233358
     850    106.25       5.2539558     -79.4597232     -74.2057675          1781.3           3.574    -75.8230743
     860    107.50       5.1244269     -79.2746009     -74.1501740          1737.4           0.384    -75.8216990
     870    108.75       4.7322932     -78.8102407     -74.0779475          1604.5           0.177    -75.8214663
     880    110.00       4.9022270     -78.8830581     -73.9808312          1662.1           1.376    -75.8216283
     890    111.25       5.4252587     -79.2737745     -73.8485158          1839.4           5.313    -75.8225482
     900    112.50       5.4131268     -79.1072638     -73.6941370          1835.3           8.256    -75.8228229
     910    113.75       5.6116157     -79.1352730     -73.5236573          1902.6           8.830    -75.8207633
     920    115.00       5.8641857     -79.2024777     -73.3382920          1988.2           5.470    -75.8218725
     930    116.25       5.9302450     -79.0735510     -73.1433060          2010.6           3.412    -75.8193238
     940    117.50       6.0324330     -78.9816959     -72.9492629          2045.3           2.985    -75.8192543
     950    118.75       6.0180491     -78.7738439     -72.7557948          2040.4           3.638    -75.8177690
     960    120.00       6.1319179     -78.7009585     -72.5690406          2079.0           7.090    -75.8188522
     970    121.25       6.9167646     -79.2954281     -72.3786636          2345.1           6.244    -75.8199486
     980    122.50       6.9500626     -79.1531715     -72.2031089          2356.4           7.483    -75.8163815
     990    123.75       7.1407354     -79.2097239     -72.0689885          2421.0           6.641    -75.8134538
    1000    125.00       7.3182725     -79.3008641     -71.9825916          2481.2           5.101    -75.8161301
Average temperature over run =  1994.52 K
Average pressure over run    =   6.4239 GPa
